ratio,halflife
0.060707,889
0.098338,11024
0.101332,1.756e+07
0.109882,3258.1
0.125053,14293
0.128688,6.397e+04
0.129308,6300
0.159086,71.69
0.168171,3747.2
0.171804,21316
0.173011,8.807e+04
0.179735,34.918
0.194228,3.6052e+07
0.216742,8169
0.230116,528.8
0.231903,2.2527e+05
0.250122,1.3134e+05
0.259884,34.918
0.277474,906.9
0.284153,854.1
0.319981,433
0.34426,1977
0.359446,672
0.374028,135.88
0.376422,5.906e+04
0.415294,8007
0.42502,1064.1
0.452958,333.94
0.538568,608.1
0.552532,804.5
0.563462,713.6
0.603543,242.56
0.698271,85.81
0.698891,8.796
